Antecedent,Consequent,Support,Confidence,Lift
"FamilySupport=yes, G2Level=Low",Result=Fail,0.2,0.8586956521739131,2.6091137123745822
"G1Level=Low, Result=Fail",G2Level=Low,0.25316455696202533,0.9615384615384616,2.601422550052687
G2Level=Low,"G1Level=Low, Result=Fail",0.25316455696202533,0.684931506849315,2.601422550052687
"FamilySize=GT3, Result=Fail",G2Level=Low,0.23291139240506328,0.9583333333333334,2.5927511415525113
"Result=Fail, SchoolSupport=no",G2Level=Low,0.2582278481012658,0.9532710280373832,2.57905517859429
G2Level=Low,"Result=Fail, SchoolSupport=no",0.2582278481012658,0.6986301369863013,2.57905517859429
Result=Fail,"G1Level=Low, G2Level=Low",0.25316455696202533,0.7692307692307694,2.574967405475881
"G1Level=Low, G2Level=Low",Result=Fail,0.25316455696202533,0.8474576271186441,2.5749674054758804
"G2Level=Low, SchoolSupport=no",Result=Fail,0.2582278481012658,0.8429752066115701,2.561347743165925
Result=Fail,"G2Level=Low, SchoolSupport=no",0.2582278481012658,0.7846153846153846,2.561347743165925
"G2Level=Low, Internet=yes",Result=Fail,0.2430379746835443,0.8421052631578948,2.5587044534412957
Result=Fail,"G2Level=Low, Internet=yes",0.2430379746835443,0.7384615384615385,2.5587044534412957
Result=Fail,"Address=U, G2Level=Low",0.22531645569620254,0.6846153846153847,2.551161103047896
"Address=U, G2Level=Low",Result=Fail,0.22531645569620254,0.839622641509434,2.5511611030478956
"FamilySize=GT3, G2Level=Low",Result=Fail,0.23291139240506328,0.8363636363636364,2.5412587412587415
Result=Fail,"FamilySize=GT3, G2Level=Low",0.23291139240506328,0.7076923076923077,2.5412587412587415
Result=Fail,G2Level=Low,0.30886075949367087,0.9384615384615385,2.5389884088514223
G2Level=Low,Result=Fail,0.30886075949367087,0.8356164383561643,2.5389884088514223
"Result=Fail, Romantic=no",G2Level=Low,0.1848101265822785,0.935897435897436,2.5320512820512824
Result=Fail,"G2Level=Low, School=GP",0.26582278481012656,0.8076923076923077,2.5320512820512824
"G2Level=Low, School=GP",Result=Fail,0.26582278481012656,0.8333333333333333,2.532051282051282
"HigherEducation=yes, Result=Fail",G2Level=Low,0.2759493670886076,0.9316239316239316,2.5204894040510477
G2Level=Low,"HigherEducation=yes, Result=Fail",0.2759493670886076,0.7465753424657534,2.5204894040510477
"FamilySupport=yes, Result=Fail",G2Level=Low,0.2,0.9294117647058824,2.5145044319097503
"Result=Fail, School=GP",G2Level=Low,0.26582278481012656,0.9292035398230086,2.5139410837677287
G2Level=Low,"Result=Fail, School=GP",0.26582278481012656,0.7191780821917807,2.5139410837677287
Result=Fail,"G2Level=Low, HigherEducation=yes",0.2759493670886076,0.8384615384615386,2.5090326340326343
"G2Level=Low, HigherEducation=yes",Result=Fail,0.2759493670886076,0.8257575757575758,2.5090326340326343
"Failures=0, Result=Fail",G2Level=Low,0.18227848101265823,0.9230769230769231,2.4973656480505797
"Internet=yes, Result=Fail",G2Level=Low,0.2430379746835443,0.923076923076923,2.4973656480505793
G2Level=Low,"Internet=yes, Result=Fail",0.2430379746835443,0.6575342465753424,2.4973656480505793
"Address=U, Result=Fail",G2Level=Low,0.22531645569620254,0.9175257731958762,2.482347126112131
"G2Level=Low, Romantic=no",Result=Fail,0.1848101265822785,0.8021978021978022,2.437447168216399
"Failures=0, G2Level=Low",Result=Fail,0.18227848101265823,0.7912087912087912,2.404057480980558
"G2Level=Low, Romantic=no",G1Level=Low,0.1949367088607595,0.8461538461538461,2.3537378114842906
"G1Level=Low, SchoolSupport=no",G2Level=Low,0.25063291139240507,0.868421052631579,2.349495313626532
G2Level=Low,"G1Level=Low, SchoolSupport=no",0.25063291139240507,0.6780821917808219,2.349495313626532
"G1Level=Low, SchoolSupport=no",Result=Fail,0.22025316455696203,0.7631578947368421,2.3188259109311744
Result=Fail,"G1Level=Low, SchoolSupport=no",0.22025316455696203,0.6692307692307693,2.3188259109311744
"G2Level=Low, Internet=yes",G1Level=Low,0.2379746835443038,0.8245614035087719,2.293674326661725
G1Level=Low,"G2Level=Low, Internet=yes",0.2379746835443038,0.6619718309859155,2.293674326661725
"Address=U, G2Level=Low",G1Level=Low,0.22025316455696203,0.8207547169811321,2.2830853042785013
"G2Level=Low, Result=Fail",G1Level=Low,0.25316455696202533,0.8196721311475411,2.2800738859385827
G1Level=Low,"G2Level=Low, Result=Fail",0.25316455696202533,0.7042253521126761,2.2800738859385827
"G2Level=Low, SchoolSupport=no",G1Level=Low,0.25063291139240507,0.8181818181818181,2.275928297055058
