Itemset,Length,Support
HigherEducation=yes,1,0.9494
School=GP,1,0.8835
SchoolSupport=no,1,0.8709
Internet=yes,1,0.8329
Failures=0,1,0.7899
Address=U,1,0.7772
FamilySize=GT3,1,0.7114
Result=Pass,1,0.6709
Romantic=no,1,0.6658
FamilySupport=yes,1,0.6127
Sex=F,1,0.5266
Activities=yes,1,0.5089
StudyTime=2-5 hrs,1,0.5013
Activities=no,1,0.4911
G1Level=Medium,1,0.4759
Sex=M,1,0.4734
AgeGroup=<=16,1,0.4709
Absences=Low,1,0.4633
G2Level=Medium,1,0.4608
AgeGroup=17-18,1,0.4557
FamilySupport=no,1,0.3873
Absences=Medium,1,0.3696
G2Level=Low,1,0.3696
G1Level=Low,1,0.3595
Romantic=yes,1,0.3342
Result=Fail,1,0.3291
FamilySize=LE3,1,0.2886
StudyTime=<2 hrs,1,0.2658
Address=R,1,0.2228
"HigherEducation=yes, School=GP",2,0.8405
"HigherEducation=yes, SchoolSupport=no",2,0.8228
"HigherEducation=yes, Internet=yes",2,0.7924
"Failures=0, HigherEducation=yes",2,0.7722
"School=GP, SchoolSupport=no",2,0.7544
"Internet=yes, School=GP",2,0.7519
"Address=U, HigherEducation=yes",2,0.7418
"Internet=yes, SchoolSupport=no",2,0.7266
"Address=U, School=GP",2,0.7241
"Failures=0, School=GP",2,0.7089
"Failures=0, SchoolSupport=no",2,0.6886
"Address=U, Internet=yes",2,0.681
"FamilySize=GT3, HigherEducation=yes",2,0.6759
"Address=U, SchoolSupport=no",2,0.6734
"Failures=0, Internet=yes",2,0.6709
"HigherEducation=yes, Result=Pass",2,0.6532
"HigherEducation=yes, Romantic=no",2,0.643
"FamilySize=GT3, School=GP",2,0.638
"Address=U, Failures=0",2,0.6304
"FamilySize=GT3, SchoolSupport=no",2,0.6152
"Result=Pass, SchoolSupport=no",2,0.6
"Result=Pass, School=GP",2,0.5975
"Romantic=no, School=GP",2,0.5975
"Failures=0, Result=Pass",2,0.5924
"FamilySize=GT3, Internet=yes",2,0.5924
"FamilySupport=yes, HigherEducation=yes",2,0.5924
"Internet=yes, Result=Pass",2,0.5696
"FamilySupport=yes, School=GP",2,0.5671
"Romantic=no, SchoolSupport=no",2,0.5671
"Failures=0, FamilySize=GT3",2,0.562
"Failures=0, Romantic=no",2,0.5468
"Address=U, FamilySize=GT3",2,0.5392
"Internet=yes, Romantic=no",2,0.5392
"Address=U, Result=Pass",2,0.5316
"FamilySupport=yes, Internet=yes",2,0.5291
"FamilySupport=yes, SchoolSupport=no",2,0.5165
"HigherEducation=yes, Sex=F",2,0.5165
"Address=U, Romantic=no",2,0.5165
"Failures=0, FamilySupport=yes",2,0.4987
"Activities=yes, HigherEducation=yes",2,0.4937
"HigherEducation=yes, StudyTime=2-5 hrs",2,0.481
"Address=U, FamilySupport=yes",2,0.481
"FamilySize=GT3, Romantic=no",2,0.481
"AgeGroup=<=16, School=GP",2,0.4709
