studytime,failures,internet,Student_Count,Pass_Rate,Avg_G3
<2 hrs,0,no,11,72.73,11.55
<2 hrs,0,yes,63,80.95,11.6
<2 hrs,1,no,6,50.0,6.83
<2 hrs,1,yes,10,30.0,8.9
<2 hrs,2+,yes,6,0.0,2.83
<2 hrs,2+,no,2,50.0,8.5
<2 hrs,2+,yes,7,28.57,4.71
2-5 hrs,0,no,28,64.29,9.64
2-5 hrs,0,yes,130,73.85,11.08
2-5 hrs,1,no,5,60.0,7.2
2-5 hrs,1,yes,21,47.62,8.38
2-5 hrs,2+,no,2,0.0,9.0
2-5 hrs,2+,yes,5,0.0,6.6
2-5 hrs,2+,no,2,0.0,8.0
2-5 hrs,2+,yes,5,20.0,5.0
5-10 hrs,0,no,4,75.0,10.5
5-10 hrs,0,yes,50,78.0,12.14
5-10 hrs,1,no,2,50.0,6.5
5-10 hrs,1,yes,5,60.0,8.2
5-10 hrs,2+,yes,4,75.0,9.5
>10 hrs,0,no,4,75.0,10.25
>10 hrs,0,yes,22,72.73,11.5
>10 hrs,1,yes,1,100.0,10.0
